STT,Link chat,Loại việc,Hệ bài chữa,Gửi giáo án,Mã giáo án,Đường dẫn bài nộp,Trạng thái,Thời gian bắt đầu,Thời gian hoàn thành,Xưng hô
40,https://business.facebook.com/latest/inbox/all/?asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100048925163112&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,gen_bài 1,D:\HoangLong_Data\Download\BUSINESS-CLUB-1.docx,Đã làm,7:46,7:50,Anh - Em (Mặc định)
41,https://business.facebook.com/latest/inbox/all/?asset_id=397158984167026&mailbox_id=397158984167026&selected_item_id=100048925163112&thread_type=FB_MESSAGE,Chữa bài,APTIS GENERAL,Có,vstep_bài 1,D:\HoangLong_Data\Download\BUSINESS-CLUB-1.docx,Đã làm,7:50,7:53,Anh - Em (Mặc định)
42,https://www.facebook.com/messages/t/9940025779422975,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\SPORTS-nguyen.docx|D:\HoangLong_Data\Download\TRAVEL-CLUB-nguyen.docx,Đã làm,11:43,11:46,Anh - Em (Mặc định)
43,https://www.facebook.com/messages/t/1300944225527096,Chữa bài,APTIS GENERAL,Có,gen_bài 8,D:\HoangLong_Data\Download\BT-PHOTOGRAPHY-CLUB-APTIS-SV.docx,Đã làm,11:47,11:50,Anh - Em (Mặc định)
44,https://www.facebook.com/messages/t/743323368839225,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\DEBATE-CLUB.docx,Đã làm,11:50,11:52,Anh - Em (Mặc định)
45,https://www.facebook.com/messages/t/2192332038277645,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\Walking-Club-APTIS-SV.docx,Đã làm,11:54,11:56,Anh - Em (Mặc định)
46,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&selected_item_id=100022508271376&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 4,D:\HoangLong_Data\Download\FITNESS-CLUB-APTIS-SV.docx,Đã làm,11:56,11:59,Anh - Em (Mặc định)
47,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&selected_item_id=100007406164300&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Không,,D:\HoangLong_Data\Download\Bài làm.docx,Đã làm,12:01,12:03,Anh - Em (Mặc định)
48,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&selected_item_id=100000023044997&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 6,D:\HoangLong_Data\Download\COMMUNITY-CLUB-APTIS-SV.docx,Đã làm,12:13,12:18,Anh - Em (Mặc định)
49,https://business.facebook.com/latest/inbox/all?asset_id=397158984167026&selected_item_id=100061871797857&thread_type=FB_MESSAGE&mailbox_id=397158984167026,Chữa bài,APTIS GENERAL,Có,gen_bài 5,D:\HoangLong_Data\Download\SOCIAL-CLUB-Thu-Hà.docx|D:\HoangLong_Data\Download\TECHNOLOGY-CLUB-Thu-Hà.docx,Đã làm,12:18,12:23,Anh - Em (Mặc định)
